report_id,crew_id,report_date,fatigue_level,samn_perelli_score,notes,category,created_at
1,1,2026-01-13,Low,2,Feeling fully alert and rested.,Layover,2026-01-13 08:00:00
2,1,2026-01-16,Low,2,"Well rested, good sleep last night.",Scheduled Check-in,2026-01-16 16:00:00
3,1,2026-01-17,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-01-17 09:31:51
4,1,2026-01-19,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-01-19 19:46:50
5,1,2026-01-20,Low,1,Feeling fully alert and rested.,Layover,2026-01-20 14:00:00
6,1,2026-01-21,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-01-21 19:23:35
7,1,2026-02-08,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-02-08 18:14:53
8,1,2026-02-10,Mild,3,"Minor drowsiness, manageable.",Scheduled Check-in,2026-02-10 08:00:00
9,1,2026-02-19,High,6,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-02-19 02:39:02
10,1,2026-02-22,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-02-22 17:48:23
11,1,2026-03-04,Low,2,"Well rested, good sleep last night.",Post-Flight,2026-03-04 05:30:54
12,1,2026-03-07,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-03-07 20:16:56
13,1,2026-03-07,Low,2,Feeling fully alert and rested.,Scheduled Check-in,2026-03-07 16:00:00
14,1,2026-03-10,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-03-10 02:14:54
15,1,2026-03-17,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-03-17 23:08:41
16,1,2026-03-20,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-03-20 05:34:42
17,1,2026-03-22,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-03-22 16:57:45
18,1,2026-03-25,High,5,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-03-25 12:36:31
19,1,2026-04-02,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-04-02 17:47:33
20,1,2026-04-05,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-04-05 01:33:59
21,1,2026-04-06,Low,2,Feeling fully alert and rested.,Pre-Flight,2026-04-06 18:39:03
22,1,2026-04-09,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-04-09 18:08:49
23,1,2026-04-13,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-04-13 01:49:35
24,1,2026-04-16,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-04-17 00:13:02
25,1,2026-04-18,Low,1,Feeling fully alert and rested.,Post-Flight,2026-04-18 20:57:05
26,1,2026-04-18,Mild,3,Slightly tired but functioning normally.,Layover,2026-04-18 11:00:00
27,1,2026-04-20,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-04-20 23:27:38
28,1,2026-04-23,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-04-23 20:57:34
29,1,2026-04-26,Low,2,Feeling fully alert and rested.,Post-Flight,2026-04-26 10:44:15
30,1,2026-04-27,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-04-27 19:10:07
31,1,2026-05-04,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-05-04 15:53:03
32,1,2026-05-06,Low,1,"Well rested, good sleep last night.",Layover,2026-05-06 19:00:00
33,1,2026-05-07,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-05-07 01:27:58
34,1,2026-05-09,Low,2,Feeling fully alert and rested.,Pre-Flight,2026-05-09 15:49:32
35,1,2026-05-12,Low,2,Feeling fully alert and rested.,Layover,2026-05-12 09:00:00
36,1,2026-05-14,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-05-14 03:50:01
37,1,2026-05-16,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-05-16 06:17:20
38,1,2026-05-19,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-05-19 21:23:08
39,1,2026-05-23,Low,2,"Well rested, good sleep last night.",Layover,2026-05-23 10:00:00
40,1,2026-05-24,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-05-24 09:50:49
41,1,2026-05-28,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-05-28 04:00:58
42,1,2026-05-31,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-06-01 00:33:56
43,1,2026-06-04,Low,2,Feeling fully alert and rested.,Pre-Flight,2026-06-04 17:58:41
44,1,2026-06-09,Low,2,"No fatigue concerns, ready for duty.",Post-Flight,2026-06-09 16:40:08
45,1,2026-06-12,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-06-12 08:24:53
46,1,2026-06-15,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-06-15 21:00:43
47,1,2026-06-19,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-06-19 21:03:22
48,1,2026-06-22,Low,2,"No fatigue concerns, ready for duty.",Post-Flight,2026-06-22 08:37:33
49,1,2026-06-28,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-06-28 03:26:40
50,2,2026-01-08,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-01-08 17:12:30
